Rio Grande do Norte | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2021],Total de despesas brutas empenhadas - R$ [2021],PIB per capita - R$ [2021],
Acari,2400109,acariense,FERNANDO ANTONIO BEZERRA,608.466,10597,17.42,97.6,0.679,-,78138809.83,48577521.27,12785.32,
A&ccedil;u,2400208,a&ccedil;uense,GUSTAVO MONTENEGRO SOARES,1303.442,56496,43.34,97.6,0.661,10.03,267023956.50,252836794.30,24982.91,
Afonso Bezerra,2400307,afonso-bezerrense,JOAO BATISTA DA CUNHA NETO,576.179,10839,18.81,98.8,0.585,17.09,60614798.90,55715861.60,12542.16,
&Aacute;gua Nova,2400406,&aacute;gua-novense,FRANCISCO RONALDO DE SOUZA,50.684,2946,58.12,99.2,0.616,-,26929326.24,24941677.12,10492.84,
Alexandria,2400505,alexandrinense,JEANE CARLINA SARAIVA E FERREIRA DE SOUZA,381.205,13640,35.78,97.5,0.606,7.3,87307786.07,78528962.46,11145.72,
Almino Afonso,2400604,almino-afonsense,J&Eacute;SSICA LOURINE DE ASSIS AMORIM,128.038,4687,36.61,95.5,0.624,22.22,41541538.66,35531568.40,10685.63,
Alto do Rodrigues,2400703,alto-rodriguense,NIXON DA SILVA BARACHO,191.334,12484,65.25,97.3,0.672,19.11,131805234.63,139291538.00,41300.47,
Angicos,2400802,angicano,MIGUEL PINHEIRO NETO,741.582,11632,15.69,96.5,0.624,7.69,57399892.99,57052144.24,15405.34,
Ant&ocirc;nio Martins,2400901,ant&ocirc;nio-martinense,JORGE VINICIUS DE OLIVEIRA FERNANDES,244.897,6577,26.86,98,0.578,-,31319225.28,29036431.93,9149.14,
Apodi,2401008,apodiense,ALAN JEFFERSON DA SILVEIRA PINTO,1602.477,36093,22.52,97.2,0.639,21.22,139562530.38,130487470.80,19763.55,
